stat,value,comment,file_name
sim_num_insn,25729060,total number of instructions committed,sim-outorder_anagram_taken.cfg.out.txt
sim_num_refs,9061656,total number of loads and stores committed,sim-outorder_anagram_taken.cfg.out.txt
sim_num_loads,6509986,total number of loads committed,sim-outorder_anagram_taken.cfg.out.txt
sim_num_stores,2551670.0000,total number of stores committed,sim-outorder_anagram_taken.cfg.out.txt
sim_num_branches,3809439,total number of branches committed,sim-outorder_anagram_taken.cfg.out.txt
sim_elapsed_time,14,total simulation time in seconds,sim-outorder_anagram_taken.cfg.out.txt
sim_inst_rate,1837790.0000,simulation speed (in insts/sec),sim-outorder_anagram_taken.cfg.out.txt
sim_total_insn,45818526,total number of instructions executed,sim-outorder_anagram_taken.cfg.out.txt
sim_total_refs,16562659,total number of loads and stores executed,sim-outorder_anagram_taken.cfg.out.txt
sim_total_loads,12854560,total number of loads executed,sim-outorder_anagram_taken.cfg.out.txt
sim_total_stores,3708099.0000,total number of stores executed,sim-outorder_anagram_taken.cfg.out.txt
sim_total_branches,6311299,total number of branches executed,sim-outorder_anagram_taken.cfg.out.txt
sim_cycle,24572088,total simulation time in cycles,sim-outorder_anagram_taken.cfg.out.txt
sim_IPC,1.0471,instructions per cycle,sim-outorder_anagram_taken.cfg.out.txt
sim_CPI,0.9550,cycles per instruction,sim-outorder_anagram_taken.cfg.out.txt
sim_exec_BW,1.8647,total instructions (mis-spec + committed) per cycle,sim-outorder_anagram_taken.cfg.out.txt
sim_IPB,6.7540,instruction per branch,sim-outorder_anagram_taken.cfg.out.txt
IFQ_count,66095566,cumulative IFQ occupancy,sim-outorder_anagram_taken.cfg.out.txt
IFQ_fcount,16515112,cumulative IFQ full count,sim-outorder_anagram_taken.cfg.out.txt
ifq_occupancy,2.6899,avg IFQ occupancy (insn's),sim-outorder_anagram_taken.cfg.out.txt
ifq_rate,1.8647,avg IFQ dispatch rate (insn/cycle),sim-outorder_anagram_taken.cfg.out.txt
ifq_latency,1.4426,avg IFQ occupant latency (cycle's),sim-outorder_anagram_taken.cfg.out.txt
ifq_full,0.6721,fraction of time (cycle's) IFQ was full,sim-outorder_anagram_taken.cfg.out.txt
RUU_count,190002202,cumulative RUU occupancy,sim-outorder_anagram_taken.cfg.out.txt
RUU_fcount,4854158,cumulative RUU full count,sim-outorder_anagram_taken.cfg.out.txt
ruu_occupancy,7.7324,avg RUU occupancy (insn's),sim-outorder_anagram_taken.cfg.out.txt
ruu_rate,1.8647,avg RUU dispatch rate (insn/cycle),sim-outorder_anagram_taken.cfg.out.txt
ruu_latency,4.1468,avg RUU occupant latency (cycle's),sim-outorder_anagram_taken.cfg.out.txt
ruu_full,0.1975,fraction of time (cycle's) RUU was full,sim-outorder_anagram_taken.cfg.out.txt
LSQ_count,65812927,cumulative LSQ occupancy,sim-outorder_anagram_taken.cfg.out.txt
LSQ_fcount,1742704,cumulative LSQ full count,sim-outorder_anagram_taken.cfg.out.txt
lsq_occupancy,2.6784,avg LSQ occupancy (insn's),sim-outorder_anagram_taken.cfg.out.txt
lsq_rate,1.8647,avg LSQ dispatch rate (insn/cycle),sim-outorder_anagram_taken.cfg.out.txt
lsq_latency,1.4364,avg LSQ occupant latency (cycle's),sim-outorder_anagram_taken.cfg.out.txt
lsq_full,0.0709,fraction of time (cycle's) LSQ was full,sim-outorder_anagram_taken.cfg.out.txt
sim_slip,225392896,total number of slip cycles,sim-outorder_anagram_taken.cfg.out.txt
avg_sim_slip,8.7602,the average slip between issue and retirement,sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.lookups,8104109,total number of bpred lookups,sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.updates,3809439,total number of updates,sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.addr_hits,1195793,total number of address-predicted hits,sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.dir_hits,1195793,total number of direction-predicted hits (includes addr-hits),sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.misses,2613646,total number of misses,sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.jr_hits,0,total number of address-predicted hits for JR's,sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.jr_seen,329260,total number of JR's seen,sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.jr_non_ras_hits.PP,0,total number of address-predicted hits for non-RAS JR's,sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.jr_non_ras_seen.PP,329260,total number of non-RAS JR's seen,sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.bpred_addr_rate,0.3139,"branch address-prediction rate (i.e., addr-hits/updates)",sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.bpred_dir_rate,0.3139,"branch direction-prediction rate (i.e., all-hits/updates)",sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.bpred_jr_rate,0.0000,"JR address-prediction rate (i.e., JR addr-hits/JRs seen)",sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.bpred_jr_non_ras_rate.PP,0.0000,"non-RAS JR addr-pred rate (ie, non-RAS JR hits/JRs seen)",sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.retstack_pushes,0,total number of address pushed onto ret-addr stack,sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.retstack_pops,0,total number of address popped off of ret-addr stack,sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.used_ras.PP,0,total number of RAS predictions used,sim-outorder_anagram_taken.cfg.out.txt
bpred_taken.ras_hits.PP,0,total number of RAS hits,sim-outorder_anagram_taken.cfg.out.txt
il1.accesses,56247823,total number of accesses,sim-outorder_anagram_taken.cfg.out.txt
il1.hits,56204540,total number of hits,sim-outorder_anagram_taken.cfg.out.txt
il1.misses,43283,total number of misses,sim-outorder_anagram_taken.cfg.out.txt
il1.replacements,42789,total number of replacements,sim-outorder_anagram_taken.cfg.out.txt
il1.writebacks,0,total number of writebacks,sim-outorder_anagram_taken.cfg.out.txt
il1.invalidations,0,total number of invalidations,sim-outorder_anagram_taken.cfg.out.txt
il1.miss_rate,0.0008,"miss rate (i.e., misses/ref)",sim-outorder_anagram_taken.cfg.out.txt
il1.repl_rate,0.0008,"replacement rate (i.e., repls/ref)",sim-outorder_anagram_taken.cfg.out.txt
il1.wb_rate,0.0000,"writeback rate (i.e., wrbks/ref)",sim-outorder_anagram_taken.cfg.out.txt
il1.inv_rate,0.0000,"invalidation rate (i.e., invs/ref)",sim-outorder_anagram_taken.cfg.out.txt
dl1.accesses,9895753,total number of accesses,sim-outorder_anagram_taken.cfg.out.txt
dl1.hits,9853185,total number of hits,sim-outorder_anagram_taken.cfg.out.txt
dl1.misses,42568,total number of misses,sim-outorder_anagram_taken.cfg.out.txt
dl1.replacements,42056,total number of replacements,sim-outorder_anagram_taken.cfg.out.txt
dl1.writebacks,10540,total number of writebacks,sim-outorder_anagram_taken.cfg.out.txt
dl1.invalidations,0,total number of invalidations,sim-outorder_anagram_taken.cfg.out.txt
dl1.miss_rate,0.0043,"miss rate (i.e., misses/ref)",sim-outorder_anagram_taken.cfg.out.txt
dl1.repl_rate,0.0042,"replacement rate (i.e., repls/ref)",sim-outorder_anagram_taken.cfg.out.txt
dl1.wb_rate,0.0011,"writeback rate (i.e., wrbks/ref)",sim-outorder_anagram_taken.cfg.out.txt
dl1.inv_rate,0.0000,"invalidation rate (i.e., invs/ref)",sim-outorder_anagram_taken.cfg.out.txt
